"","TP0003_CD8_LTBI","TP0004_CD8_LTBI","TP0005_CD8_LTBI","TP0008_CD8_LTBI","TP0015_CD8_LTBI","TU0084_CD8_HC","XT0101_CD8_HC","TU0079_CD8_HC","TU0119_CD8_HC","TP0001_CD8_LTBI","TP0007_CD8_LTBI","TU0146_CD8_HC","XT0103_CD8_HC","TP0013_CD8_LTBI","TU0005_CD8_LTBI","TU0010_CD8_LTBI","TU0013_CD8_LTBI","TU0021_CD8_LTBI","TU0022_CD8_LTBI","TU0024_CD8_LTBI","TU0033_CD8_LTBI","TU0035_CD8_LTBI","TU0046_CD8_LTBI","TU0050_CD8_HC","TU0052_CD8_HC","TU0053_CD8_HC","TU0056_CD8_HC","TU0057_CD8_HC","TU0059_CD8_HC","TU0063_CD8_LTBI","TU0070_CD8_LTBI","TU0071_CD8_HC","TU0075_CD8_LTBI","TU0085_CD8_HC","TU0094_CD8_HC","TU0110_CD8_HC","XT0082_CD8_HC","XT0106_CD8_HC","XT0123_CD8_HC","XT0134_CD8_LTBI"
"MXRA8",0,0.172524090168697,0,0.14848111828721,0,0,1.31207445959227,0.106559597073057,1.00951422812081,0,0.708317701850879,0.406045330146513,0.536317586186284,0.307470438389576,0,0,0,0,0.700781460913194,0.604462971338133,0.398036412914614,0.902830950932358,1.23010967768543,1.08647862942906,0.0317229431091956,2.3588431194199,0.0368830403852756,0,0.0689363537494856,0.696983831169913,0,0,4.39603150193242,0.220675132757164,0,0.790253855012494,0.409215444057958,0.458213707349413,0.372840595486981,0.105838051641887
"MYADM",27.3886046745448,35.2491187094747,43.5445153896532,16.8588533986732,41.0616276003737,20.1203864265672,17.071928806289,25.8374247835448,27.7081631937238,72.3879141854967,60.8627701910953,44.12915923759,49.7478496249086,62.9151810297246,38.6914187262455,43.9114325714198,35.8865825676281,360.169134900479,36.9808736328609,39.6965438901295,45.0305757371593,65.7547540844378,44.6638627989091,41.2925650863933,40.5676125230247,41.0775421079227,34.228549030328,41.1907678442254,43.3570413067894,70.4999612310936,33.0537898531259,35.7032353480382,34.0688937544508,32.1403738728705,58.0677635350526,33.6890948891889,25.0825558643635,26.5537405864898,32.3980091337992,40.9036359073985
"MYB",0,0.678344779467212,0.0499552290442846,0,0.671995954167709,0.859300434267487,1.08380779510488,0.0616147085058207,0.17511587864441,0,0.307171690264087,0,0.281916945558111,0,0,0,0.0775129455545484,0.0733432747644543,0.0337670551084874,1.39804619403833,0,0.181576825346132,1.066907880228,0,0,0,0,0,0,0,0.103292163381481,0,0.258494831043101,0.467860796151265,0,0.0830798611713854,1.0884329386902,0,0,0
"MYBBP1A",8.28962150169543,8.37639744319874,7.41524437537716,7.35233831946723,8.81879531170733,7.85625627215187,11.6136814568639,14.8824660669844,8.30571636873165,18.3014303339122,16.7274864196382,21.6115263270479,8.81513541796612,10.1890459450411,16.229068887941,11.8398703877647,13.3440641483598,8.18129075156783,20.7906952962461,20.5242432044503,9.46732989798702,15.6693429785836,13.4664366770908,18.2256650228787,9.66661362710667,16.7716863204569,15.6971341656317,6.91443767612128,14.7744185115181,14.7704028751726,10.5845396005448,12.830131015106,17.7850987015386,25.6648373561499,26.2906392471124,24.7738412160685,14.7557062921264,12.1785648222075,23.0253587437709,18.3113816748171
"MYBL1",41.4996226181104,18.553867852753,38.3482925107108,26.0173686688053,26.6166347471963,23.7300772504166,12.5986836888171,24.6403857393203,32.902919025358,10.0311923731725,9.20748080191462,12.324422287348,16.5711637130375,16.0198299350093,6.4248401541772,11.3363146131208,7.70706331639909,11.796651670426,10.6894869333141,4.70900312094692,9.95560168970169,9.52484905434179,15.2247283252767,8.21158261234758,8.60946384872476,10.6454012566631,7.60876450097836,5.78552396263631,10.6658875412025,12.2676987429586,7.80339498889827,6.53432915660077,8.22085329223323,14.272906923342,9.06141670902978,10.8723786959493,6.74658861751499,8.65205410954266,6.33602456491951,8.65000147572931
"MYBL2",0,0,0.753196053325242,2.39475929650944,1.19199604316982,2.17896952198718,13.8081679373352,1.02189003588498,0.352039459312997,0,1.08064999039133,2.05315351705124,0.170023226654924,6.5673227648032,0.566236385618324,0,1.34399967048048,0.0552913740437109,0.0509120128697288,4.96860539833504,0.289174815648266,0,0,0,0,0,2.70100202553518,5.46859100159345,2.5241578400991,0.0552393968397014,0.77868975167134,0.949831211505525,0,0,0.305348635809871,1.44052461481195,0,1.66446912959568,0,3.44474845502353
"MYBPC1",0,0,0,0,0,0,0,0.173997831281838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYBPC2",0.0788824281944564,0.0927149439064183,0,0,0,0,0,0.0715817937052917,0.27125792966487,0,0,0,0.524033851743313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359107829192124,0,0
"MYBPC3",0,0,0,0,0.039247960776412,0,0,0.122352755282842,0.0579566978012919,0,0,0,0,0,0,0,0,0.0728215061510008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYBPHL",0,0,0,0,0.0399586312395291,0,0,0,0.0590061310062888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
