"","H1","L1","H2","L2","H3","L3","H4","L4","H5","L5"
"ADAM9",9.36497422462665,47.563009707354,15.5453617549559,29.0140169741557,6.83294496640485,12.2743466378091,3.90953305454276,39.42320231786,14.7697504088234,7.22006311891496
"ADAMDEC1",191.911204177186,0.729752256817007,237.461199119806,1.2631244040527,478.066205476224,2.97297836620722,83.8141563057706,6.29463908831988,1352.00217723396,40.8304360426514
"ADAMTS10",1.40893947947538,8.03421175056585,0.778604161356203,0,0.70716094714521,0,3.26139122248891,0,2.88744341679903,0.619888991404832
"ADAMTS12",5.34419309667619,3.68090100437008,1.79518267274006,5.69156545205994,1.55312468192594,1.54415863040388,2.00749162013549,1.29586666825898,0.679901840728552,2.4019535031496
"ADAMTS13",2.99058085164547,5.97778273853425,4.62619670398316,6.61231117752002,5.97166774371396,3.04227776153533,1.40888757683655,3.95299118015028,3.34241888750127,5.8384637972814
"ADAMTS14",4.67211868574539,2.8453914176496,12.1992592008772,2.82572476855975,4.14240032272605,0,0.217799114128337,2.47036080597644,4.01867855557142,1.19612776105588
"ADAMTS16",10.0112751013489,7.15628019588291,49.0286346387541,4.42888599977832,37.1450776973257,1.07057273792523,28.7745706897288,0.835546046378655,48.2841496822412,0.721764327719727
"ADAMTS4",0.922138078031126,2.33329033172846,1.52712244633585,0.0812856630229144,0.00322194304276687,1.15826048765723,1.28577264344537,2.63298089425954,0.32618173104592,1.51698015865498
"ADAMTS9",26.5696591923003,68.6753990421862,25.7761098149752,70.6049938727661,0,8.95638078674079,21.4188677691401,53.3030408731694,0,0
"ADAMTSL1",3.87149225408419,3.22854367690985,4.40268400764705,0,2.96800208363753,0.239340213617105,2.54267539455946,2.65417067735321,0.546932927536985,0
"ADAMTSL2",11.3586215981149,7.11457654861649,0.434008142881668,25.3553424901252,10.8618551229865,15.493029097749,13.3312040013237,64.8584946491066,22.2790369012374,0.346930845649008
"ADAMTSL3",0,29.570081920878,0,28.3112976165272,0,0,0,44.9682572511495,0,10.4392902409649
"ADAMTSL4",12.6806200023979,18.9063649069911,8.24067654873699,75.0354957500289,7.70136971791475,19.1449528516993,39.8256623261106,14.5262861283538,8.78457992373222,14.2630310524289
"ADAP1",0.0357920006474755,9.71719609445777,0,0.121706018648829,1.38465779800012,17.242032623947,10.9121535088129,4.39251114684016,1.72698206327993,3.0258259263051
"ADARB1",2.25345502849495,3.55634419567918,3.634173058916,19.2595266447776,3.30934287703043,3.00491783999458,3.22978733152174,4.51400749080542,1.80557008145395,4.29086333381407
"ADARB2",0.411827590272027,4.36168431316658,0.592540278355308,1.53772990235483,0,0,0.918850194394826,3.97011280789207,2.02846808703229,1.7291072064614
"ADAT1",7.42410907295208,0,7.07451416019289,12.4662371889974,7.97603110385361,13.8379056682418,2.89183393537476,8.19124848862663,8.65575657291607,5.49990932680903
"ADCK1",0,0,0,0,16.794729931789,0,0,0,0,0
"ADCY10",0,0,0,0,1.89185459043936,4.51274574779824,1.82628275718071,3.15080400765698,0,0
"ADCY3",4.61795034734218,10.6820034064629,10.8740186217262,12.9911397677918,4.95188573685017,16.8751232016529,10.7635684741402,0.118224132051799,0.95732879712356,14.0497685404319
"ADCY5",9.87074209267167,0.25566059743987,0,0,0.230035623105131,0.212117901640444,0,0.197270159301872,0,0.112932151548049
"ADCY6",28.4234185816629,33.2660676598647,19.6704207640251,47.2911837824351,34.8775704717794,37.3397663948294,27.8156171267423,54.1741921226929,18.9515864550274,23.6743911458847
"ADCY7",80.4315972096049,0.0487226666390183,135.087029334624,16.7613097982505,0.166281888069233,4.87534968785786,11.54271558798,3.58418636605512,94.0036027841897,94.7831339095099
"ADCYAP1",8.95483467732994,3.93106131762324,0,0,2.81207115051604,0.634261000408949,21.8665210898276,9.63850359887114,0.753544795211889,0.406347266901912
"ADCYAP1R1",1.20321781931216,2.78597603436402,0,4.80409743537415,0,0,0,6.26005976782897,0,0
