gene	log2FoldChange	pvalue
PALB2	0.535071361	0.062504585
DOP1A	0.414288976	0.295938045
KAT6A	0.763945724	0.039801377
TUT7	0.513240022	0.274798361
GRHL2	0.26960076	0.713393964
TNPO1	0.182137842	0.589643492
P2RX5	1.280134091	0.070054151
ITGAE	0.156723699	0.659335193
DIS3	0.112002045	0.749543518
PIBF1	0.259965095	0.510658264
TDRD3	0.378706395	0.039919699
NUFIP1	0.437754311	0.14785093
PDS5B	0.334490856	0.271957403
OXCT1	0.752110669	0.031990683
RRAGB	0.012378954	0.954459979
EPYC	1.35653849	0.525190134
CYLD	0.545779471	0.180123148
ZNF671	0.285105325	0.506263815
ZNF416	0.310542353	0.303890228
ZNF586	0.472483269	0.089488241
ZNF446	0.041313074	0.887258864
ZNF264	0.31505755	0.16265261
YTHDC1	0.493829994	0.188211922
CHMP2B	0.181410118	0.642899859
SMAP2	0.422691025	0.449723444
PPIE	0.053984123	0.817792938
NOA1	0.008804873	0.969291684
REST	0.418171898	0.114138033
HAL	1.005301313	0.133147732
SLCO1A2	0.495355393	0.875464745
WBP11	0.401329838	0.047488089
APOB	0.05801016	0.932270652
NCOA1	0.561190203	0.042388583
AGBL5	0.323253007	0.229552203
EFR3B	0.926400406	0.055842749
KIF3C	0.178613839	0.567370995
MAPRE3	0.119271572	0.793819177
CD82	0.579189202	0.39215534
ATRX	0.092734625	0.831170964
MYNN	0.600832749	0.15006187
PREP	0.074298719	0.657316417
HACE1	0.062246099	0.834536699
WDR47	0.661353386	0.050564151
WDFY1	0.318283489	0.286456522
MAP3K4	0.348485799	0.214625775
IGSF9	0.023257083	0.975847353
ABCB1	0.992170952	0.04971868
CPNE3	0.147040276	0.343769039
RRN3	0.050268879	0.827046295
WNT11	0.316146535	7.03E-01
MTIF2	0.149805442	0.608093137
DDHD2	0.292389329	0.167663252
TTC39A	0.157208573	0.643131486
EPS15	0.070411996	0.759780813
ORC1	0.574104583	0.224234856
CHERP	0.033386212	0.829652031
ATG16L1	0.624968443	0.065209694
RAD54L	0.768247808	0.110101114
NFX1	0.277346794	0.241637162
DIMT1	0.016129361	0.937727222
FOLH1	1.071251836	0.734663796
EIF2AK1	0.098476816	0.64178853
NME8	1.076084256	0.075629016
EPDR1	0.001482433	0.997686964
SEPHS1	0.104352134	0.642039036
CEACAM6	1.584231362	0.142879247
FAT2	0.247273179	0.673127896
ZFAND6	0.352013971	0.184480078
HSD17B2	3.334301902	0.037178377
TXLNG	0.46584588	0.230186139
PPEF1	0.421935233	0.755141028
HUWE1	0.126027777	0.769804187
ALG9	0.137524565	0.644134778
MTMR2	0.24084324	0.580118135
SRRT	0.089144808	0.690850555
PGS1	0.325659344	0.487357278
UIMC1	0.314955353	0.264604723
CETP	0.141408069	0.84822556
GNAO1	1.34473459	0.036363455
OGFOD1	0.120723506	0.624039491
TXNDC16	0.347119426	0.324298685
RTRAF	0.171499067	0.441932746
GMCL1	0.568283876	0.086383518
KLHL42	0.010051726	0.979473875
PHACTR3	0.495355393	0.875464745
ERGIC2	0.285050133	0.527371863
TFAP2C	0.611328625	0.65901229
CASS4	0.669057905	0.343653622
AAMDC	0.008912063	9.83E-01
RFX2	0.215504349	0.511862987
ALG6	0.094051774	0.797872807
CNOT3	0.322221718	0.143425671
GP6	0.003050461	0.994813252
PTPN4	0.484607568	0.188290333
DDX18	0.081603203	7.91E-01
ASAP3	0.02860283	0.957976827
PDRG1	0.013204213	0.965557452
DOCK9	0.164291852	6.77E-01
ANKRD10	0.044269329	0.883511103
TGDS	0.024884345	0.953409143
DOCK3	0.808474857	0.039128604
C3orf18	0.230297376	0.490214926
COQ9	0.097883632	0.794311233
KIF9	0.132368755	6.79E-01
ARHGAP28	0.116386816	0.843539082
DEFB127	0	1
PPP1R13B	0.152164772	0.716460599
SMOX	0.058344514	0.891061491
ZNF343	0.214059259	0.556625627
EBF4	0.393668707	0.3935829
CPXM1	0.385986717	0.27473811
XRN2	0.141037082	0.489871523
