"Transcript_id","H1","L1","H2","L2","H3","L3","H4","L4","H5","L5","hgnc_symbol","ensembl_gene_id","transcript_biotype"
"ENST00000532838.1",0,0,0.067347,0,0,0,0,0.231601,0,0,"CKLF-CMTM1","ENSG00000254788","protein_coding"
"ENST00000532844.5",0,0,0,0,0,0,0,0,0,0,"CTNND1","ENSG00000198561","protein_coding"
"ENST00000532847.1",0,0,0,0.029654,0,0,0,0.01603,0,0,"OR7E8P","ENSG00000177400","unprocessed_pseudogene"
"ENST00000532858.5",0,0,0.007715,0,0,0,0,0,0,0,"SAA1","ENSG00000173432","protein_coding"
"ENST00000532859.1",0.006116,0.006248,0.005752,0.005295,0.005794,0.0054,0.006368,0.004109,0.004599,0.004502,"PHB1P2","ENSG00000254512","processed_pseudogene"
"ENST00000532868.6",0,0,0.197124,0.080313,0.112025,0,0,0.340675,0.556687,0.228663,"DGKZ","ENSG00000149091","protein_coding"
"ENST00000532869.2",0,0,0,0.046344,0,0,0,0,0,0,"OR5B10P","ENSG00000255096","unprocessed_pseudogene"
"ENST00000532870.5",4.707036,5.916134,1.797786,3.591315,10.514455,3.226708,1.521227,2.645149,3.013997,1.862444,"TAGLN","ENSG00000149591","protein_coding"
"ENST00000532875.1",0.293767,0.089454,0.101335,0.046222,0.131084,0.3852,0.065314,0.093722,0.100624,0.011708,"ALG1L9P","ENSG00000254978","transcribed_unprocessed_pseudogene"
"ENST00000532876.1",0,0.049077,0.179969,0,0.056539,0,0,0.03272,0.186572,0.16413,"CBX3P7","ENSG00000197692","processed_pseudogene"
"ENST00000532878.1",0,0,0.011482,0,0,0.025684,0,0,0.033541,0.082676,"NPM1P50","ENSG00000213333","transcribed_processed_pseudogene"
"ENST00000532889.1",0,0,0,0,0,0,0,0,0,0,"SPATA19","ENSG00000166118","protein_coding"
"ENST00000532891.6",0.221361,0.50626,0.254534,0.192023,0.292745,0,0.175011,0.306742,0.212853,0.416562,"ARHGAP27","ENSG00000159314","protein_coding"
"ENST00000532895.1",0,0,0,0,0,0,0,0,0,0,"CARD18","ENSG00000255501","protein_coding"
"ENST00000532901.1",0,0,0,0,0.059627,0.016659,0,0,0.030648,0.03376,"OR7E11P","ENSG00000285537","transcribed_processed_pseudogene"
"ENST00000532905.1",0,0,0,0,0,0,0,0,0,0,"OOSP2","ENSG00000149507","protein_coding"
